Country	Aroma	Flavor	Aftertaste	Acidity	Body	Balance	Uniformity	Clean.Cup	Sweetness	Cupper.Points
China	7.5	7.67	7.42	7.67	7.5	7.5	10	10	10	7.5
China	7.67	7.42	7.42	7.5	7.42	7.42	10	10	10	7.58
China	7.5	7.58	7.42	7.5	7.42	7.42	10	10	10	7.5
China	7.25	7.08	7.25	7.17	7.33	7.17	10	10	10	7.17
China	7	6.92	6.83	7.17	7.17	7.17	10	10	9.33	7.08
China	7.33	7.17	6.92	7.08	7.33	7	9.33	9.33	9.33	7.17
Colombia	7.75	7.92	7.83	8.08	8.08	8.17	10	10	10	8.17
Colombia	8	8	8	8.17	7.83	8	10	10	10	7.92
Colombia	8.17	7.92	7.83	8	7.58	7.83	10	10	10	7.92
Colombia	7.58	8.08	7.92	7.83	8	7.92	10	10	10	7.92
Colombia	8.17	7.83	7.58	8.08	8	7.75	10	10	10	7.67
Colombia	7.83	8	7.75	7.75	7.83	7.83	10	10	10	8.08
Colombia	8	7.92	7.75	7.92	7.75	7.83	10	10	10	7.83
Colombia	7.92	7.92	7.67	7.83	7.92	7.83	10	10	10	7.83
Colombia	7.92	7.83	7.75	7.83	7.75	8	10	10	10	7.83
Colombia	7.75	7.92	7.83	7.75	7.75	8	10	10	10	7.92
Colombia	7.75	7.83	7.75	7.83	7.75	7.83	10	10	10	7.92
Colombia	7.83	7.67	7.58	7.92	7.67	7.83	10	10	10	8.08
Colombia	7.92	7.83	7.58	8	7.83	7.67	10	10	10	7.75
Colombia	7.67	7.67	7.58	7.75	7.58	8.5	10	10	10	7.83
Colombia	7.75	7.75	7.83	7.75	7.58	8	10	10	10	7.92
Colombia	7.67	7.83	7.83	8	7.58	7.92	10	10	10	7.75
Colombia	7.42	7.67	7.75	7.75	8.08	7.83	10	10	10	8.08
Colombia	8.08	7.67	7.83	7.83	7.67	7.67	10	10	10	7.75
Colombia	7.92	7.83	7.75	7.67	7.92	7.67	10	10	10	7.67
Colombia	7.92	7.75	7.67	7.92	7.67	7.75	10	10	10	7.75
Colombia	7.58	7.75	7.5	7.83	7.67	8.5	10	10	10	7.5
Colombia	7.67	7.67	7.75	7.83	7.75	7.83	10	10	10	7.83
Colombia	7.75	7.67	8	7.67	8.08	7.83	10	10	10	7.33
Colombia	7.75	7.58	7.33	7.83	7.58	8.08	10	10	10	8.17
Colombia	7.83	7.58	7.75	7.58	7.67	8	10	10	10	7.83
Colombia	7.67	7.67	7.75	7.75	7.67	7.92	10	10	10	7.83
Colombia	7.83	7.67	7.75	7.58	7.92	7.75	10	10	10	7.75
Colombia	7.83	7.75	7.83	7.58	7.67	7.75	10	10	10	7.83
Colombia	7.42	7.67	7.83	7.75	7.92	7.83	10	10	10	7.83
Colombia	7.58	7.5	7.75	7.83	7.92	7.83	10	10	10	7.83
Colombia	7.83	7.75	7.58	7.67	7.75	7.83	10	10	10	7.75
Colombia	8	7.5	7.5	7.67	8	7.83	10	10	10	7.67
Colombia	7.67	7.5	7.67	7.42	7.83	8.58	10	10	10	7.5
Colombia	7.75	7.75	7.75	7.75	7.83	7.75	10	10	10	7.58
Colombia	7.83	7.5	7.42	7.5	7.83	8.5	10	10	10	7.5
Colombia	7.92	7.75	7.67	7.75	7.67	7.67	10	10	10	7.67
Colombia	7.67	7.67	7.83	7.58	7.58	7.83	10	10	10	7.83
Colombia	7.67	7.75	7.67	7.67	7.67	7.75	10	10	10	7.83
Colombia	7.58	7.42	7.75	7.92	7.75	7.92	10	10	10	7.67
Colombia	7.67	7.67	7.5	7.5	7.67	7.67	10	10	10	8.33
Colombia	7.67	7.83	7.67	7.75	7.67	7.75	10	10	10	7.67
Colombia	7.75	7.67	7.5	7.75	7.83	7.75	10	10	10	7.67
Colombia	7.75	7.58	7.5	7.83	7.75	7.92	10	10	10	7.58
Colombia	7.92	7.67	7.5	7.83	7.58	7.67	10	10	10	7.75
Colombia	7.83	7.75	7.58	7.58	7.75	7.75	10	10	10	7.67
Colombia	7.75	7.58	7.67	7.83	7.83	7.67	10	10	10	7.58
Colombia	7.67	7.83	7.67	7.75	7.67	7.83	10	10	10	7.5
Colombia	7.92	7.58	7.5	7.83	7.58	7.67	10	10	10	7.75
Colombia	7.83	7.67	7.5	7.75	7.75	7.75	10	10	10	7.58
Colombia	7.67	7.58	7.58	7.83	7.58	7.67	10	10	10	7.92
Colombia	7.83	7.83	7.58	7.58	7.58	7.58	10	10	10	7.75
Colombia	7.92	7.75	7.5	7.67	7.75	7.5	10	10	10	7.67
Colombia	7.75	7.67	7.5	7.67	7.58	7.83	10	10	10	7.75
Colombia	7.67	7.67	7.67	7.92	7.5	7.67	10	10	10	7.67
Colombia	7.67	7.42	7.42	7.42	8	8.33	10	10	10	7.5
Colombia	7.58	7.67	7.75	7.67	7.67	7.67	10	10	10	7.75
Colombia	7.75	7.67	7.75	7.58	7.42	8	10	10	10	7.58
Colombia	7.83	7.83	7.58	7.33	7.42	7.67	10	10	10	8.08
Colombia	7.75	7.67	7.25	7.25	7.58	8.5	10	10	10	7.75
Colombia	7.5	7.75	7.5	7.75	7.67	7.67	10	10	10	7.83
Colombia	7.83	7.75	7.67	7.58	7.58	7.67	10	10	10	7.58
Colombia	7.67	7.67	7.67	7.67	7.33	7.75	10	10	10	7.92
Colombia	7.75	7.75	7.58	7.83	7.17	7.75	10	10	10	7.83
Colombia	7.75	7.75	7.58	7.58	7.67	7.58	10	10	10	7.67
Colombia	7.67	7.75	7.58	7.67	7.75	7.58	10	10	10	7.58
Colombia	7.67	7.58	7.67	7.67	7.67	7.67	10	10	10	7.67
Colombia	7.67	7.58	7.67	7.58	7.67	7.75	10	10	10	7.67
Colombia	7.75	7.58	7.5	7.58	7.75	7.83	10	10	10	7.58
Colombia	7.67	7.67	7.58	7.67	7.75	7.58	10	10	10	7.67
Colombia	7.67	7.58	7.58	7.58	7.67	7.75	10	10	10	7.75
Colombia	7.75	7.58	7.58	7.75	7.75	7.5	10	10	10	7.58
Colombia	7.75	7.58	7.58	7.5	7.75	7.75	10	10	10	7.58
Colombia	7.58	7.58	7.58	7.58	7.75	7.67	10	10	10	7.75
Colombia	7.67	7.42	7.67	7.83	7.58	7.67	10	10	10	7.67
Colombia	8	7.58	7.25	7.58	7.92	7.58	10	10	10	7.58
Colombia	7.75	7.58	7.33	7.5	7.83	7.83	10	10	10	7.67
Colombia	7.58	7.75	7.42	7.67	7.75	7.67	10	10	10	7.67
Colombia	7.58	7.67	7.58	7.75	7.58	7.75	10	10	10	7.58
Colombia	7.67	7.58	7.58	7.67	7.67	7.67	10	10	10	7.67
Colombia	7.5	7.58	7.58	7.5	7.75	7.83	10	10	10	7.67
Colombia	7.67	7.67	7.5	7.67	7.67	7.58	10	10	10	7.67
Colombia	7.58	7.67	7.58	7.67	7.58	7.67	10	10	10	7.67
Colombia	7.58	7.58	7.25	7.75	7.75	8.58	9.33	10	10	7.58
Colombia	7.5	7.75	7.58	7.5	7.67	7.75	10	10	10	7.67
Colombia	7.58	7.58	7.58	7.67	7.75	7.67	10	10	10	7.58
Colombia	7.75	7.5	7.75	7.58	7.58	7.58	10	10	10	7.58
Colombia	7.67	7.58	7.58	7.42	7.67	7.75	10	10	10	7.67
Colombia	7.83	7.58	7.58	7.58	7.5	7.58	10	10	10	7.67
Colombia	7.67	7.75	7.42	7.83	7.83	7.42	10	10	10	7.42
Colombia	7.67	7.67	7.5	7.67	7.92	7.42	10	10	10	7.5
Colombia	7.5	7.67	7.67	7.58	7.67	7.58	10	10	10	7.67
Colombia	7.58	7.67	7.67	7.17	7.75	7.83	10	10	10	7.58
Colombia	7.58	7.58	7.5	7.58	7.58	7.75	10	10	10	7.67
Colombia	7.83	7.5	7.67	7.33	7.67	7.67	10	10	10	7.58
Colombia	7.67	7.58	7.58	7.42	7.83	7.58	10	10	10	7.58
Colombia	7.67	7.67	7.5	7.5	7.58	7.67	10	10	10	7.67
Colombia	7.92	7.75	7.25	7.42	7.83	7.58	10	10	10	7.5
Colombia	8	7.67	7.67	7.25	7.67	7.5	10	10	10	7.5
Colombia	7.92	7.75	7.5	7.42	7.42	7.67	10	10	10	7.58
Colombia	7.58	7.5	7.5	7.67	7.5	7.67	10	10	10	7.75
Colombia	7.58	7.75	7.5	7.58	7.58	7.58	10	10	10	7.58
Colombia	7.67	7.5	7.5	7.5	7.58	8.17	10	10	10	7.25
Colombia	7.58	7.67	7.5	7.58	7.67	7.67	10	10	10	7.5
Colombia	7.58	7.67	7.33	7.67	7.75	7.58	10	10	10	7.5
Colombia	7.75	7.5	7.5	7.42	8	7.75	10	10	10	7.17
Colombia	7.33	7.33	7.33	7.58	7.25	8.08	10	10	10	8.17
Colombia	7.83	7.75	7.33	7.25	7.42	7.92	10	10	10	7.58
Colombia	7.67	7.67	7.33	7.67	7.5	7.58	10	10	10	7.58
Colombia	7.75	7.42	7.33	7.5	7.58	7.17	10	10	10	8.25
Colombia	7.83	7.5	7.58	7.33	7.5	7.67	10	10	10	7.58
Colombia	7.33	7.67	7.75	7.42	7.75	7.58	10	10	10	7.5
Colombia	7.58	7.75	7.42	7.67	7.58	7.42	10	10	10	7.58
Colombia	7.5	7.5	7.42	7.58	7.75	7.58	10	10	10	7.67
Colombia	7.67	7.58	7.5	7.5	7.75	7.5	10	10	10	7.5
Colombia	7.75	7.58	7.5	7.67	7.83	7.75	9.33	10	10	7.58
Colombia	7.67	7.58	7.58	7.58	7.67	7.42	10	10	10	7.5
Colombia	7.67	7.67	7.58	7.5	7.67	7.42	10	10	10	7.5
Colombia	7.33	7.67	7.58	7.33	7.58	7.92	10	10	10	7.58
Colombia	7.5	7.58	7.67	7.67	7.58	7.58	10	10	10	7.42
Colombia	7.58	7.67	7.5	7.33	7.67	7.58	10	10	10	7.58
Colombia	7.58	7.5	7.75	7.33	7.58	7.58	10	10	10	7.58
Colombia	7.75	7.5	7.25	7.5	7.75	7.5	10	10	10	7.67
Colombia	7.83	7.67	7.42	7.42	7.5	7.58	10	10	10	7.5
Colombia	7.5	7.75	7.33	7.75	7.08	7.83	10	10	10	7.67
Colombia	7.83	7.67	7.5	7.58	7.5	7.67	10	10	10	7.08
Colombia	7.5	7.42	7.58	7.5	7.58	7.58	10	10	10	7.67
Colombia	7.83	7.5	7.5	7.42	7.5	7.5	10	10	10	7.58
Colombia	7.5	7.58	7.58	7.75	7.33	7.5	10	10	10	7.5
Colombia	7.67	7.42	7.42	7.58	7.33	7.67	10	10	10	7.67
Colombia	7.58	7.33	7.17	7.33	7.25	8.58	10	10	10	7.5
Colombia	7.5	7.58	7.42	7.67	7.5	7.58	10	10	10	7.5
Colombia	7.67	7.58	7.58	7.58	7.5	7.42	10	10	10	7.42
Colombia	7.75	7.5	7.33	7.58	7.33	7.75	10	10	10	7.42
Colombia	7.75	7.58	7.67	7.25	7.58	7.42	10	10	10	7.42
Colombia	7.33	7.58	7.42	7.42	7.67	7.67	10	10	10	7.58
Colombia	8.08	7.67	7.67	7.33	7.33	7.17	10	10	10	7.42
Colombia	7.5	7.42	7.33	7.33	7.67	7.83	10	10	10	7.58
Colombia	7.75	7.25	7.33	7.42	7.5	7.83	10	10	10	7.5
Colombia	7.75	7.5	7.75	7.25	7.33	7.58	10	10	10	7.42
Colombia	7.58	7.5	7.42	7.58	7.67	7.42	10	10	10	7.42
Colombia	7.33	7.42	7.58	7.42	7.67	7.5	10	10	10	7.67
Colombia	7.5	7.5	7.42	7.42	7.58	7.58	10	10	10	7.5
Colombia	7.67	7.5	7.33	7.5	7.25	7.67	10	10	10	7.58
Colombia	5.08	7.75	7.83	7.75	7.83	8.08	10	10	10	8.08
Colombia	7.67	7.42	7.33	7.5	7.58	7.5	10	10	10	7.42
Colombia	7.67	7.33	7.25	7.42	7.5	7.67	10	10	10	7.58
Colombia	7.33	7.58	7.17	7.58	7.42	7.58	10	10	10	7.75
Colombia	7.58	7.25	7.42	7.25	7.58	7.83	10	10	10	7.5
Colombia	7.42	7.33	7.5	7.17	7.08	8.33	10	10	10	7.5
Colombia	7.5	7.42	7.5	7.5	7.5	7.58	10	10	10	7.33
Colombia	7.83	7.58	7.33	7.25	7.58	7.42	10	10	10	7.33
Colombia	7.5	7.42	7.67	7.33	7.58	7.33	10	10	10	7.42
Colombia	7.67	7.33	7.33	7.33	7.5	7.5	10	10	10	7.58
Colombia	7.17	7.25	7.58	7.25	7.58	7.67	10	10	10	7.75
Colombia	7.33	7.25	7.25	7.58	7.75	7.5	10	10	10	7.5
Colombia	7.58	7.67	7.42	7.17	7.17	7.75	10	10	10	7.42
Colombia	7.75	7.58	7.42	7.67	7.83	7.58	9.33	9.33	10	7.58
Colombia	7.5	7.42	7.42	7.42	7.67	7.42	10	10	10	7.25
Colombia	7.67	7.42	7.67	7.33	7.25	7.58	10	10	10	7.17
Colombia	7.33	7.33	7.58	7.5	7.5	7.58	10	10	10	7.17
Colombia	7.33	7	7.08	7.42	7.5	7.67	10	10	10	8
Colombia	7.67	7.33	7.33	7.58	7.33	7.33	10	10	10	7.33
Colombia	7.5	7.5	7	7.42	7.5	7.58	10	10	10	7.33
Colombia	7.58	7.5	7.17	7.58	7.33	7.33	10	10	10	7.33
Colombia	7.33	7.42	7.33	7.33	7.5	7.67	10	10	10	7.17
Colombia	7.42	7.58	6.92	7.08	7.25	8	10	10	10	7.5
Colombia	7.75	7.75	7.75	7.67	5.25	7.83	10	10	10	7.67
Colombia	7.42	7.42	7.17	7.42	7.42	7.33	10	10	10	7.33
Colombia	7.5	7.42	7.25	7.17	7.17	7.75	10	10	10	7.17
Colombia	7.75	7.33	7.42	7	7.33	7.25	10	10	10	7.33
Colombia	7.5	7.33	7.33	7.17	7.33	7.42	10	10	10	7.25
Colombia	7.67	7.5	7.42	5.25	7.67	7.75	10	10	10	7.75
Colombia	7.33	7.33	7	6.83	7.33	7.67	10	10	10	7.33
Colombia	7.67	7.5	7.42	7.67	7.5	7.75	10	10	6.67	8.5
Colombia	7.17	7.25	7.08	7.42	7.08	7.42	10	10	10	7.25
Colombia	7.08	7.25	7	7.5	7.08	7.33	10	10	10	7.33
Colombia	7.42	8	7.83	7.75	8.08	7.58	8.67	8.67	8.67	7.58
Colombia	7.83	7.67	7.58	7.75	7.83	7.17	6.67	10	10	7.42
Colombia	7.25	7.17	7	6.75	7.17	7.33	10	10	10	6.92
Colombia	7.83	7.5	7.42	7.42	7.67	7.5	10	6.67	10	7.5
Colombia	7.42	7.25	6.75	7.25	7.42	7.25	9.33	9.33	10	7.33
Colombia	7.42	7.17	7	7.17	7.67	7.17	8.67	9.33	9.33	7.08
Colombia	8	7.33	7.75	7.33	7.42	7.67	6.67	6.67	6.67	7.33
Costa Rica	8.08	8.25	8	8.17	8	8.33	10	10	10	8.33
Costa Rica	8.17	7.83	8	8.08	7.83	8	10	10	10	8.42
Costa Rica	7.92	8.08	8	7.92	8	8.08	10	10	9.33	8
Costa Rica	8	7.58	7.58	7.67	8.08	8.5	10	10	10	7.92
Costa Rica	7.83	8	7.58	7.92	7.92	7.83	10	10	10	7.92
Costa Rica	8.08	7.75	7.67	7.83	7.5	7.92	10	10	10	7.92
Costa Rica	8.17	8	7.83	7.17	7.83	7.75	10	10	10	7.92
Costa Rica	7.67	7.58	7.75	7.75	7.67	8.58	10	10	10	7.67
Costa Rica	8	7.58	7.83	7.75	7.75	7.75	10	10	10	8
Costa Rica	8.08	7.83	7.75	7.83	7.92	8	10	10	9.33	7.92
Costa Rica	7.75	7.83	7.75	8	7.83	7.67	10	10	10	7.75
Costa Rica	7.92	7.67	7.92	7.75	7.67	7.58	10	10	10	8
Costa Rica	7.92	7.83	7.83	7.83	7.58	7.58	10	10	10	7.92
Costa Rica	7.58	7.83	7.83	8	7.67	7.58	10	10	10	7.92
Costa Rica	7.92	7.75	7.67	7.67	7.5	7.67	10	10	10	8
Costa Rica	7.67	7.75	7.67	7.75	7.5	8	10	10	10	7.83
Costa Rica	7.58	7.75	7.67	7.75	7.83	7.75	10	10	10	7.67
Costa Rica	7.67	7.67	7.75	7.67	7.5	7.75	10	10	10	7.83
Costa Rica	7.83	7.42	7.5	7.83	7.75	7.83	10	10	10	7.67
Costa Rica	7.33	7.67	7.67	7.5	7.67	7.5	10	10	10	8.33
Costa Rica	7.92	7.42	7.5	7.67	7.5	7.67	10	10	10	7.83
Costa Rica	7.58	7.5	7.42	7.92	7.5	7.67	10	10	10	7.83
Costa Rica	7.67	7.67	7.42	7.67	7.67	7.67	10	10	10	7.58
Costa Rica	7.5	7.67	7.67	7.5	7.83	7.17	10	10	10	8
Costa Rica	7.5	7.5	7.83	7.5	7.67	7.67	10	10	10	7.58
Costa Rica	7.83	7.5	7.42	7.67	7.5	7.67	10	10	10	7.67
