CountryOfOrigin	Cupper.Points	Acidity	Balance
China	7.75	7.75	7.75
China	7.75	7.5	7.67
China	7.75	7.58	7.75
China	7.67	7.67	7.67
China	7.67	7.67	7.58
China	7.58	7.33	7.67
China	7.5	7.67	7.5
China	7.58	7.5	7.42
China	7.5	7.5	7.42
China	7.17	7.17	7.17
China	7.08	7.17	7.17
China	7.17	7.08	7
Colombia	8.17	8.08	8.17
Colombia	7.92	8.17	8
Colombia	7.92	8	7.83
Colombia	7.92	7.83	7.92
Colombia	7.67	8.08	7.75
Colombia	8.08	7.75	7.83
Colombia	7.83	7.92	7.83
Colombia	7.83	7.83	7.83
Colombia	7.83	7.83	8
Colombia	7.92	7.75	8
Colombia	7.92	7.83	7.83
Colombia	8.08	7.92	7.83
Colombia	7.75	8	7.67
Colombia	7.83	7.75	8.5
Colombia	7.92	7.75	8
Colombia	7.75	8	7.92
Colombia	8.08	7.75	7.83
Colombia	7.75	7.83	7.67
Colombia	7.67	7.67	7.67
Colombia	7.75	7.92	7.75
Colombia	7.5	7.83	8.5
Colombia	7.83	7.83	7.83
Colombia	7.33	7.67	7.83
Colombia	8.17	7.83	8.08
Colombia	7.83	7.58	8
Colombia	7.83	7.75	7.92
Colombia	7.75	7.58	7.75
Colombia	7.83	7.58	7.75
Colombia	7.83	7.75	7.83
Colombia	7.83	7.83	7.83
Colombia	7.75	7.67	7.83
Colombia	7.67	7.67	7.83
Colombia	7.5	7.42	8.58
Colombia	7.58	7.75	7.75
Colombia	7.5	7.5	8.5
Colombia	7.67	7.75	7.67
Colombia	7.83	7.58	7.83
Colombia	7.83	7.67	7.75
Colombia	7.67	7.92	7.92
Colombia	8.33	7.5	7.67
Colombia	7.67	7.75	7.75
Colombia	7.67	7.75	7.75
Colombia	7.58	7.83	7.92
Colombia	7.75	7.83	7.67
Colombia	7.67	7.58	7.75
Colombia	7.58	7.83	7.67
Colombia	7.5	7.75	7.83
Colombia	7.75	7.83	7.67
Colombia	7.58	7.75	7.75
Colombia	7.92	7.83	7.67
Colombia	7.75	7.58	7.58
Colombia	7.67	7.67	7.5
Colombia	7.75	7.67	7.83
Colombia	7.67	7.92	7.67
Colombia	7.5	7.42	8.33
Colombia	7.75	7.67	7.67
Colombia	7.58	7.58	8
Colombia	8.08	7.33	7.67
Colombia	7.75	7.25	8.5
Colombia	7.83	7.75	7.67
Colombia	7.58	7.58	7.67
Colombia	7.92	7.67	7.75
Colombia	7.83	7.83	7.75
Colombia	7.67	7.58	7.58
Colombia	7.58	7.67	7.58
Colombia	7.67	7.67	7.67
Colombia	7.67	7.58	7.75
Colombia	7.58	7.58	7.83
Colombia	7.67	7.67	7.58
Colombia	7.75	7.58	7.75
Colombia	7.58	7.75	7.5
Colombia	7.58	7.5	7.75
Colombia	7.75	7.58	7.67
Colombia	7.67	7.83	7.67
Colombia	7.58	7.58	7.58
Colombia	7.67	7.5	7.83
Colombia	7.67	7.67	7.67
Colombia	7.58	7.75	7.75
Colombia	7.67	7.67	7.67
Colombia	7.67	7.5	7.83
Colombia	7.67	7.67	7.58
Colombia	7.67	7.67	7.67
Colombia	7.58	7.75	8.58
Colombia	7.67	7.5	7.75
Colombia	7.58	7.67	7.67
Colombia	7.58	7.58	7.58
Colombia	7.67	7.42	7.75
Colombia	7.67	7.58	7.58
Colombia	7.42	7.83	7.42
Colombia	7.5	7.67	7.42
Colombia	7.67	7.58	7.58
Colombia	7.58	7.17	7.83
Colombia	7.67	7.58	7.75
Colombia	7.58	7.33	7.67
Colombia	7.58	7.42	7.58
Colombia	7.67	7.5	7.67
Colombia	7.5	7.42	7.58
Colombia	7.5	7.25	7.5
Colombia	7.58	7.42	7.67
Colombia	7.75	7.67	7.67
Colombia	7.58	7.58	7.58
Colombia	7.25	7.5	8.17
Colombia	7.5	7.58	7.67
Colombia	7.5	7.67	7.58
Colombia	7.17	7.42	7.75
Colombia	8.17	7.58	8.08
Colombia	7.58	7.25	7.92
Colombia	7.58	7.67	7.58
Colombia	8.25	7.5	7.17
Colombia	7.58	7.33	7.67
Colombia	7.5	7.42	7.58
Colombia	7.58	7.67	7.42
Colombia	7.67	7.58	7.58
Colombia	7.5	7.5	7.5
Colombia	7.58	7.67	7.75
Colombia	7.5	7.58	7.42
Colombia	7.5	7.5	7.42
Colombia	7.58	7.33	7.92
Colombia	7.42	7.67	7.58
Colombia	7.58	7.33	7.58
Colombia	7.58	7.33	7.58
Colombia	7.67	7.5	7.5
Colombia	7.5	7.42	7.58
Colombia	7.67	7.75	7.83
Colombia	7.08	7.58	7.67
Colombia	7.67	7.5	7.58
Colombia	7.58	7.42	7.5
Colombia	7.5	7.75	7.5
Colombia	7.67	7.58	7.67
Colombia	7.5	7.33	8.58
Colombia	7.5	7.67	7.58
Colombia	7.42	7.58	7.42
Colombia	7.42	7.58	7.75
Colombia	7.42	7.25	7.42
Colombia	7.58	7.42	7.67
Colombia	7.42	7.33	7.17
Colombia	7.58	7.33	7.83
Colombia	7.5	7.42	7.83
Colombia	7.42	7.25	7.58
Colombia	7.42	7.58	7.42
Colombia	7.67	7.42	7.5
Colombia	7.5	7.42	7.58
Colombia	7.58	7.5	7.67
Colombia	8.08	7.75	8.08
Colombia	7.42	7.5	7.5
Colombia	7.58	7.42	7.67
Colombia	7.75	7.58	7.58
Colombia	7.5	7.25	7.83
Colombia	7.5	7.17	8.33
Colombia	7.33	7.5	7.58
Colombia	7.33	7.25	7.42
Colombia	7.42	7.33	7.33
Colombia	7.58	7.33	7.5
Colombia	7.75	7.25	7.67
Colombia	7.5	7.58	7.5
Colombia	7.42	7.17	7.75
Colombia	7.58	7.67	7.58
Colombia	7.25	7.42	7.42
Colombia	7.17	7.33	7.58
Colombia	7.17	7.5	7.58
Colombia	8	7.42	7.67
Colombia	7.33	7.58	7.33
Colombia	7.33	7.42	7.58
Colombia	7.33	7.58	7.33
Colombia	7.17	7.33	7.67
Colombia	7.5	7.08	8
Colombia	7.67	7.67	7.83
Colombia	7.33	7.42	7.33
Colombia	7.17	7.17	7.75
Colombia	7.33	7	7.25
Colombia	7.25	7.17	7.42
Colombia	7.75	5.25	7.75
Colombia	7.33	6.83	7.67
Colombia	8.5	7.67	7.75
Colombia	7.25	7.42	7.42
Colombia	7.33	7.5	7.33
Colombia	7.58	7.75	7.58
Colombia	7.42	7.75	7.17
Colombia	6.92	6.75	7.33
Colombia	7.5	7.42	7.5
Colombia	7.33	7.25	7.25
Colombia	7.08	7.17	7.17
Colombia	7.33	7.33	7.67
Costa Rica	8.33	8.17	8.33
Costa Rica	8.42	8.08	8
Costa Rica	8	7.92	8.08
Costa Rica	7.92	7.67	8.5
Costa Rica	7.92	7.92	7.83
Costa Rica	7.92	7.83	7.92
Costa Rica	7.92	7.17	7.75
Costa Rica	7.67	7.75	8.58
Costa Rica	8	7.75	7.75
Costa Rica	7.92	7.83	8
Costa Rica	7.75	8	7.67
Costa Rica	8	7.75	7.58
Costa Rica	7.92	7.83	7.58
Costa Rica	7.92	8	7.58
Costa Rica	8	7.67	7.67
Costa Rica	7.83	7.75	8
Costa Rica	7.67	7.75	7.75
Costa Rica	7.83	7.67	7.75
Costa Rica	7.67	7.83	7.83
Costa Rica	8.33	7.5	7.5
Costa Rica	7.83	7.67	7.67
Costa Rica	7.83	7.92	7.67
Costa Rica	7.58	7.67	7.67
Costa Rica	8	7.5	7.17
Costa Rica	7.58	7.5	7.67
Costa Rica	7.67	7.67	7.67
Costa Rica	7.5	7.67	7.67
Costa Rica	7.67	7.58	7.5
Costa Rica	7.67	7.67	7.5
Costa Rica	7.58	7.67	7.75
Costa Rica	7.5	7.25	7.67
Costa Rica	7.33	7.5	7.58
Costa Rica	7.67	7.75	7.58
Costa Rica	7.67	7.25	7.42
Costa Rica	7.33	7.33	7.67
Costa Rica	7.33	7.33	7.5
Costa Rica	7.33	7.33	7.42
Costa Rica	7.42	7.25	7.42
Costa Rica	8.08	7.17	7.08
Costa Rica	7.25	7.17	7.58
Costa Rica	7.25	7.33	7.75
Costa Rica	7.33	7.08	7.5
Costa Rica	7.42	7.17	7.17
Costa Rica	7.25	7.25	7.58
Costa Rica	7.17	7.25	7.58
Costa Rica	7.25	7.25	7.17
Costa Rica	8	7.67	7.5
Costa Rica	8	7.75	7.58
Costa Rica	7.33	8	7.83
Costa Rica	6.83	7	6.83
Costa Rica	6.25	6.83	6.5
Cote d?Ivoire	7.08	7	7.08
Ecuador	7.67	7.75	7.83
El Salvador	8	7.92	7.83
El Salvador	7.92	7.75	8.17
El Salvador	7.92	8.08	7.83
El Salvador	7.75	8.33	7.92
El Salvador	8	8	7.67
El Salvador	7.92	7.17	8.17
El Salvador	7.58	7.58	7.67
El Salvador	7.5	7.67	7.67
El Salvador	7.58	8.08	7.58
El Salvador	7.5	7.58	7.83
El Salvador	7.33	7.83	7.67
El Salvador	7.25	7.75	7.5
El Salvador	7.67	7.33	7.67
El Salvador	7.5	7.67	7.67
El Salvador	7.67	6.75	7.58
El Salvador	7.58	7.67	8.42
El Salvador	7.33	7.5	7.5
El Salvador	7.33	7.5	7.67
El Salvador	7.25	7.33	7.58
El Salvador	7.25	7.08	7.17
El Salvador	7	6.83	7.17
Ethiopia	8.75	8.75	8.42
Ethiopia	8.58	8.58	8.42
Ethiopia	8.67	8.42	8.25
Ethiopia	8.58	8.5	8.33
Ethiopia	9	8.42	8.5
Ethiopia	8.67	8.42	8.42
Ethiopia	8.5	8.5	8.42
Ethiopia	8.58	8.5	8.17
Ethiopia	8.5	8.25	8.75
Ethiopia	8.83	8.33	8.33
Ethiopia	8.33	8.17	8.33
Ethiopia	8.08	8.17	8
Ethiopia	8.25	8.17	8.17
Ethiopia	8.08	8	8.08
Ethiopia	8.17	8.08	8.17
Ethiopia	7.92	8.25	8
Ethiopia	8	8.08	7.92
Ethiopia	8	8.17	8
Ethiopia	8	7.92	8.08
Ethiopia	8.08	8.17	7.83
Ethiopia	8.08	8.08	7.83
Ethiopia	8	8.33	7.75
Ethiopia	7.83	8	7.92
Ethiopia	8.08	8	7.92
Ethiopia	7.83	8	7.83
Ethiopia	8	7.92	7.67
Ethiopia	7.92	8	7.83
Ethiopia	7.92	7.83	7.67
Ethiopia	7.83	8	7.92
Ethiopia	7.75	7.92	7.75
Ethiopia	7.75	7.75	7.92
Ethiopia	7.75	7.83	7.83
Ethiopia	7.92	8	7.92
Ethiopia	7.92	7.75	7.75
Ethiopia	7.83	7.58	7.92
Ethiopia	7.75	7.67	7.67
Ethiopia	7.5	8	7.5
Ethiopia	7.75	7.67	7.67
Ethiopia	7.58	7.58	7.67
Ethiopia	7.92	8.08	7.92
Ethiopia	7.58	7.5	7.58
Ethiopia	7.25	7.33	7.17
Ethiopia	7.08	7.33	8
Ethiopia	7.75	7.92	7.58
Guatemala	9.25	8.42	8.42
Guatemala	8	8.08	7.83
Guatemala	8	8.17	8
Guatemala	8	8.33	7.83
Guatemala	7.83	8.33	8
Guatemala	7.83	7.67	8.58
Guatemala	7.83	8	7.83
Guatemala	7.92	7.92	7.67
Guatemala	8	8	7.67
Guatemala	7.83	8	7.75
Guatemala	7.67	7.83	8
Guatemala	8	8	7.83
Guatemala	7.83	7.92	7.83
Guatemala	8.17	7.58	7.67
Guatemala	7.5	7.83	7.83
Guatemala	7.83	8	7.83
Guatemala	7.92	7.67	7.92
Guatemala	7.75	7.92	7.75
Guatemala	7.75	8.08	7.67
Guatemala	7.83	7.92	7.75
Guatemala	7.75	7.83	7.75
Guatemala	7.58	8	7.83
Guatemala	7.67	7.92	7.67
Guatemala	7.83	7.83	7.67
Guatemala	7.83	7.75	7.75
Guatemala	7.42	7.67	7.92
Guatemala	7.67	8	7.83
Guatemala	7.67	7.58	7.67
Guatemala	7.67	8	7.67
Guatemala	7.58	7.92	7.67
Guatemala	7.5	7.92	7.83
Guatemala	7.83	7.83	7.67
Guatemala	7.67	7.75	7.58
Guatemala	7.75	8	7.75
Guatemala	7.67	7.83	7.67
Guatemala	7.75	7.67	7.75
Guatemala	7.5	8	8
Guatemala	7.5	7.67	7.75
Guatemala	7.67	7.67	7.83
Guatemala	8	7.67	7.75
Guatemala	7.5	7.42	7.83
Guatemala	7.83	8	7.67
Guatemala	7.58	7.83	7.58
Guatemala	7.58	7.83	7.58
Guatemala	7.75	7.83	7.67
Guatemala	7.5	8	7.5
Guatemala	7.58	7.5	7.67
Guatemala	7.67	7.58	7.67
Guatemala	7.5	7.83	7.67
Guatemala	7.58	7.83	7.5
Guatemala	7.58	7.42	7.75
Guatemala	7.67	7.67	7.67
Guatemala	7.67	7.83	7.58
Guatemala	7.67	7.67	7.5
Guatemala	7.42	7.83	8.08
Guatemala	7.67	7.67	7.58
Guatemala	7.5	7.75	7.5
Guatemala	7.5	7.83	7.5
Guatemala	7.42	7.75	7.5
Guatemala	7.67	8.17	7.67
Guatemala	7.5	7.67	7.67
Guatemala	7.5	7.5	8
Guatemala	7.75	7.25	7.67
Guatemala	7.42	7.92	7.5
Guatemala	7.58	7.75	7.42
Guatemala	7.33	7.67	7.5
Guatemala	7.42	7.83	7.5
Guatemala	7.33	7.67	7.83
Guatemala	7.5	7.58	7.5
Guatemala	7.67	7.5	7.5
Guatemala	7.75	7.58	7.58
Guatemala	7.5	7.92	7.17
Guatemala	7.58	7.67	7.58
Guatemala	7.5	7.67	7.5
Guatemala	7.5	7.67	7.17
Guatemala	7.42	7.5	7.92
Guatemala	7.5	7.67	7.5
Guatemala	7.5	7.58	7.42
Guatemala	7.5	7.67	7.58
Guatemala	7.58	7.58	7.5
Guatemala	7.67	7.67	7.5
Guatemala	7.67	7.58	7.67
Guatemala	7.42	7.75	7.67
Guatemala	7.5	7.67	7.5
Guatemala	7.5	7.75	7.5
Guatemala	7.5	7.58	7.58
Guatemala	7.5	7.5	7.5
Guatemala	7.33	7.67	7.5
Guatemala	7.33	7.33	7.67
Guatemala	7.5	7.33	7.83
Guatemala	7.33	7.67	7.58
Guatemala	7.42	7.75	7.5
Guatemala	7.5	7.67	7.33
Guatemala	7.42	7.67	7.5
Guatemala	7.5	7.75	7.5
Guatemala	7.33	7.67	7.5
Guatemala	7.42	7.83	7.5
Guatemala	7.42	7.58	7.5
Guatemala	7.25	7.5	7.58
Guatemala	7.33	7.67	7.33
Guatemala	7.5	7.5	7.5
Guatemala	7.33	7.67	7.42
Guatemala	7.33	7.58	7.33
Guatemala	7.42	7.5	7.5
Guatemala	7.17	7.75	7.75
Guatemala	7.17	7.5	7.67
Guatemala	7.42	7.42	7.67
Guatemala	7.58	7.58	7.5
Guatemala	7.42	7.42	7.42
Guatemala	7.25	7.83	7.33
Guatemala	7.42	7.5	7.42
Guatemala	7.17	7.42	7.25
Guatemala	7.5	7.33	7.83
Guatemala	7.33	7.42	7.33
Guatemala	7.58	7.42	7.42
Guatemala	7.33	7.67	7.42
Guatemala	7.17	7.33	7.33
Guatemala	7.42	7.5	7.33
Guatemala	7.17	7.58	7.5
Guatemala	7.58	7.42	7.42
Guatemala	7.33	7.25	7.25
Guatemala	7.17	7.58	7.42
Guatemala	7.42	7.42	7.33
Guatemala	7.42	7.58	7.25
Guatemala	7.08	7.42	7.42
Guatemala	7.08	7.42	7.5
Guatemala	7.33	7.25	7.33
Guatemala	7.08	7.58	7.25
Guatemala	7.25	7.25	7.42
Guatemala	7.25	7.5	7.17
Guatemala	7.25	7.25	7.25
Guatemala	7.5	7.58	7.5
Guatemala	7.08	7.5	7.17
Guatemala	7.08	7.33	7.25
Guatemala	7.17	7.42	7.17
Guatemala	7	7.17	7.17
Guatemala	7.33	7.5	7
Guatemala	7.17	7.33	7.33
Guatemala	7.33	7.17	7.17
Guatemala	7.25	7.5	7.25
Guatemala	7.25	7.17	7.17
Guatemala	7.17	7.5	7.17
Guatemala	6.67	7.67	7
Guatemala	7.17	7.5	7.17
Guatemala	7.25	7.33	7.17
Guatemala	7	7.17	7.17
Guatemala	7.17	7.33	7
Guatemala	7.08	7.33	7.33
Guatemala	7.25	7.58	7.42
Guatemala	7.67	7.33	7.33
Guatemala	7.25	7.58	7.33
Guatemala	7	7.08	7.17
Guatemala	7.08	7.33	7
Guatemala	7.42	7.58	7.42
Guatemala	6.83	7	7.17
Guatemala	7.17	7.25	7.33
Guatemala	7.42	7.42	7.42
Guatemala	6.83	7.42	6.92
Guatemala	6.83	7.25	6.92
Guatemala	7.67	7.42	7.67
Guatemala	6.58	7.42	6.83
Guatemala	6.75	7.25	7
Guatemala	7.17	7.58	7.17
Guatemala	6.67	7	7.17
Guatemala	6.5	7.17	6.83
Guatemala	7	7.25	7.33
Guatemala	7.25	7.33	6.92
Guatemala	6.67	7.17	6.83
Guatemala	7.17	7.08	6.83
Guatemala	6.5	7.17	6.83
Guatemala	6.17	7	7
Guatemala	6.67	7.17	7.17
Guatemala	6.5	7.33	6.92
Guatemala	7	7.5	7.33
Guatemala	6.17	7.17	6.83
Guatemala	6.83	7.58	7.17
Guatemala	6.5	7	6.75
Guatemala	6.33	7	6.75
Guatemala	6.42	7.17	6.58
Guatemala	6	7.5	6.83
Guatemala	6.67	7.67	6.67
Haiti	7.83	7.5	7.42
Haiti	7.33	7.42	7.33
Haiti	7.25	7.25	7.33
Haiti	6.83	6.75	6.92
Haiti	6.42	7.17	6.67
Haiti	6.42	6.67	6.67
Honduras	8.25	8	8
Honduras	8.17	7.67	7.67
Honduras	7.58	7.67	7.75
Honduras	7.83	7.75	7.75
Honduras	7.75	7.92	7.58
Honduras	7.33	7.67	8
Honduras	7.83	7.5	7.67
Honduras	7.5	7.67	7.67
Honduras	7.67	7.67	7.67
Honduras	7.5	7.67	7.67
Honduras	7.67	7.58	7.5
Honduras	7.5	7.5	7.5
Honduras	7.5	7.58	7.5
Honduras	7.67	7.17	7.5
Honduras	7.58	7.5	7.42
Honduras	7.33	7.58	7.42
Honduras	7.58	7.42	7.5
Honduras	7.33	7.42	7.42
Honduras	7.42	7.5	7.42
Honduras	7.5	7.33	7.5
Honduras	7.17	7.5	7.83
Honduras	7.33	7.33	7.5
Honduras	7.42	7.58	7.5
Honduras	7.33	7.5	7.25
Honduras	7.5	7.33	7.33
Honduras	7.25	7.33	7.25
Honduras	7.5	7.5	7.17
Honduras	7.33	7.42	7.33
Honduras	7.33	7.42	7.25
Honduras	7.25	7.25	7.42
Honduras	7.33	7.17	7.33
Honduras	7.42	7.42	7.17
Honduras	7.33	7.33	7.33
Honduras	7.42	7.5	7.25
Honduras	7.33	7.42	7.33
Honduras	7.33	7.33	7.17
Honduras	7.08	7.42	7.17
Honduras	7.17	7.42	7.25
Honduras	7	7.5	7.33
Honduras	7.17	7.42	7
Honduras	7	7.17	7.08
Honduras	7	7.42	7
Honduras	7.33	7	7
Honduras	7.33	7.17	7.08
Honduras	7	6.92	6.92
Honduras	7	7	7
Honduras	6.67	7	6.83
Honduras	7	6.83	6.83
Honduras	7.08	7.17	7.17
Honduras	6.33	6.67	6.17
Honduras	6.5	6.67	6.17
Honduras	6.33	6.5	6.17
India	7.42	6.67	7.42
Indonesia	8.33	7.75	8.42
Indonesia	8	8	7.83
Indonesia	7.92	7.75	7.75
Indonesia	8	7.58	7.83
Indonesia	7.75	7.75	7.75
Indonesia	7.58	7.58	7.67
Indonesia	7.67	7.92	7.58
Indonesia	7.58	7.58	7.58
Indonesia	7.5	7.58	7.58
Indonesia	7.58	7.58	7.5
Indonesia	7.5	7.33	7.5
Indonesia	7.42	7.5	7.33
Indonesia	7.33	7.42	7.42
Indonesia	5.17	7.75	7.83
Indonesia	7.42	7.33	7.42
Indonesia	7.58	7.42	7.42
Indonesia	7.17	7.33	7.33
Indonesia	7.33	7.67	7.5
Indonesia	6.83	6.92	6.83
Indonesia	6.67	6.08	6.33
Japan	8.08	7.42	7.83
Kenya	8.08	8.25	7.92
Kenya	8	8	8.08
Kenya	8.17	8.5	7.92
Kenya	8	8.08	7.92
Kenya	7.92	8.08	7.75
Kenya	7.83	8.08	7.75
Kenya	7.83	7.75	7.83
Kenya	7.83	8.08	7.75
Kenya	7.58	8.17	7.75
Kenya	7.92	7.92	7.83
Kenya	7.83	8	7.75
Kenya	7.83	7.75	7.92
Kenya	7.92	7.75	7.83
Kenya	7.75	8.08	7.75
Kenya	7.67	8	7.75
Kenya	8.17	7.75	7.92
Kenya	7.75	7.75	7.83
Kenya	7.67	7.75	7.67
Kenya	7.67	7.75	7.67
Kenya	7.83	7.58	7.75
Kenya	7.75	7.58	7.67
Kenya	7.83	7.75	8.5
Kenya	7.5	7.58	7.5
Kenya	5.42	7.5	7.75
Kenya	7.08	7.17	7.25
Laos	7.58	7.42	7.5
Laos	7.5	7.33	7.5
Laos	7.33	7.17	7.25
Malawi	7.67	7.5	7.5
Malawi	7.58	7.58	7.5
Malawi	7.42	7.42	7.5
Malawi	7.33	7.58	7.5
Malawi	7.42	7.33	7.42
Malawi	7.33	7.58	7.33
Malawi	7.33	7.5	7.17
Malawi	7.42	7.42	7.42
Malawi	7.25	7.33	7.25
Malawi	7.25	7.08	7.33
Malawi	7.17	7.17	7.17
Mauritius	7.25	7.17	7.17
Mexico	8.58	8	8.17
Mexico	8.08	7.75	7.83
Mexico	7.83	8.08	7.83
Mexico	8.17	7.83	7.92
Mexico	7.92	7.92	7.83
Mexico	7.92	8.08	7.67
Mexico	7.67	7.75	7.83
Mexico	7.83	7.67	7.67
Mexico	7.83	7.83	7.67
Mexico	7.75	7.83	7.75
Mexico	7.75	7.67	7.58
Mexico	7.83	7.75	7.75
Mexico	7.83	7.75	7.75
Mexico	7.83	7.92	7.5
Mexico	7.67	7.67	7.83
Mexico	7.83	7.83	7.75
Mexico	7.75	7.92	7.67
Mexico	7.92	7.42	7.5
Mexico	7.83	7.75	7.75
Mexico	7.83	7.5	7.67
Mexico	7.58	7.33	8.25
Mexico	7.75	7.58	7.67
Mexico	7.67	7.58	7.58
Mexico	8.42	7.5	7.42
Mexico	7.58	7.75	7.5
Mexico	7.83	7.75	7.5
Mexico	8	7.63	8.75
Mexico	7.58	7.67	7.58
Mexico	7.67	7.67	7.58
Mexico	7.67	7.83	7.5
Mexico	7.42	7.58	7.58
Mexico	7.75	7.5	7.58
Mexico	7.67	7.58	7.58
Mexico	7.58	7.92	7.5
Mexico	7.75	7.58	7.42
Mexico	7.67	7.5	7.58
Mexico	7.67	7.67	7.58
Mexico	7.58	7.75	7.58
Mexico	7.58	7.58	7.5
Mexico	7.5	7.75	7.5
Mexico	7.58	7.5	7.58
Mexico	7.83	7.58	7.67
Mexico	7.67	7.5	7.58
Mexico	7.58	7.58	7.5
Mexico	7.42	7.42	7.5
Mexico	7.83	7.25	7.75
Mexico	7.75	7.17	7.42
Mexico	7.5	7.58	7.5
Mexico	7.58	7.75	7.42
Mexico	7.5	7.42	7.58
Mexico	7.58	7.5	7.5
Mexico	7.67	7.75	7.58
Mexico	8.08	8	7.92
Mexico	7.75	7.75	7.17
Mexico	7.58	7.5	7.5
Mexico	7.58	7.58	7.5
Mexico	7.58	7.58	7.42
Mexico	7.08	7.75	7.58
Mexico	7.58	7.75	7.67
Mexico	7.58	7.5	7.5
Mexico	7.5	7.75	6.83
Mexico	7.58	7.67	7.5
Mexico	7.58	7.5	7.42
Mexico	7.5	7.67	7.33
